Timestamp,Why would you rather not have children? ,Please explain your previous answer.,
5/5/2015 16:38:13,"I want to prioritize my career., I like my life as it is.","Ive spent too much time and energy already trying to perfect my skill and i have certain goals already, none of which feature motherhood",
5/5/2015 16:44:54,I like my life as it is.,General indifference. It seems irresponsible to have children without feeling strongly about it.,
5/5/2015 16:58:38,I like my life as it is.,"None of the above apply. I've simply never had the desire to have a child. It's not a negative feeling. And I don't want to have a child because it's what people do, or for fear of being alone in old age. My reason isn't political, financial or ""I like my life."" I just have no desire.

ps: your form made me choose one of the above to submit this. Please uncheck my option, bc it's not true.",
5/5/2015 19:18:20,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.","I can't control how my children might develop, how healthy they are, or what happens to my life if I have them. At this point I am not willing to take that chance or fight that battle. I am a 29 y/o female in graduate school in a long term relationship and I'd like to travel, sleep in, and enjoy my life kid free. When people ask me about having kids my answer is, ""Right now? Fuck no. In the future? I don't know.""",
5/5/2015 19:55:16,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.",,
5/5/2015 20:12:55,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility., I like my life as it is.","It would be irresponsible of me - I do not have a job that would permit the flexibility or financial stability required to have a child.
I do not want to raise a child, or feel that my life is any less fulfilling without children in it.

I also feel that if I am in a position to not have children (limited pressure from family, etc) I should do so, for the sake of environmental responsibility - there are already far too many mouths to feed, if I can refrain from exacerbating the destruction of the planet in some small way I absolutely should.",
5/5/2015 21:20:49,I like my life as it is.,,
5/5/2015 21:21:26,"I want to prioritize my career., I have a bad relationship with my parents., I don’t want the financial responsibility.",I'd rather adopt. ,
5/5/2015 21:21:46,"I don’t like children., I like my life as it is.",,
5/5/2015 21:21:57,I like my life as it is.,,
5/5/2015 21:22:00,I like my life as it is.,"I don't feel maternal, I also don't want to have that responsibility on my own ",
5/5/2015 21:22:20,I don’t like children.,"I just plain hate children. I do not find them to be cute, or amusing. I do not feel the need to basically have a small drunken adult running around my house tearing it to bits. I do not like the idea of bringing something into the world that is completely dependent on you and is completely helpless for the first five or so years of its life. ",
5/5/2015 21:22:26,"I don’t want the financial responsibility., I like my life as it is.","I don't believe in bringing a child into this world knowing how overpopulated we are already. I would adopt if I ever felt the urge to have a child. So far, no urge. It's a large financial responsibility, and I'm happy with my dogs.",
5/5/2015 21:22:32,I like my life as it is.,I don't feel that children will add anything meaning to my life at this time.,
5/5/2015 21:22:34,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility., I like my life as it is.",I never wanted to take care of anything. I like things a certain way. I need my sleep and Children do my interest me in any way. They are loud and messy and very needy. I also have a very highly involved career with little room for my own rest let alone another human who depends on me. I have no want to have children. They would hold me from all the things I love. ,
5/5/2015 21:22:40,I like my life as it is.,"I've always been on the fence about kids.   It was always a possibility with my husband before he passed, but now I'm sure I don't want the responsibility or make the effect to raise them. ",
5/5/2015 21:22:45,"I don’t like children., I like my life as it is.",I am not interested in raising children of my own nor am I interested in giving birth. ,
5/5/2015 21:22:46,I like my life as it is.,Fear of childbirth. ,
5/5/2015 21:23:16,I like my life as it is.,no need,
5/5/2015 21:23:30,"I want to prioritize my career., I like my life as it is.",,
5/5/2015 21:23:35,I like my life as it is.,"I don't want kids because id rather be able to get up and when I want and where I want
",
5/5/2015 21:23:47,"I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.",,
5/5/2015 21:23:47,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.",Right now I am in College again and by the time I finish and am finally able to start being able to afford to travel and do things that I have always wanted to do I will be too old to start having kids. I have too many things that I want to do in life and children just do not work into that plan. I am not sad about it at all. I will be living the life I want and not having children because society tells me I need to. ,
5/5/2015 21:23:48,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.",,
5/5/2015 21:24:07,I like my life as it is.,"Being from a very large family, I felt like I'd done the family thing.",
5/5/2015 21:24:16,I like my life as it is.,"I suppose in the same way that some women have always wanted to be a mother, I have always known I didn't want to be a mother. There's no moral or political reason, it's more like an instinct.",
5/5/2015 21:24:20,I like my life as it is.,I would have had one if the right time presented itself. I am not all that sad I didn't. If I had I would have been the best Mom ever,
5/5/2015 21:24:26,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.",,
5/5/2015 21:25:02,"I want to prioritize my career., I don’t like children., I have a bad relationship with my parents.","I'm afraid I would screw the child up. I didn't come from a very stable background. I also have an illness that has no cure and it can be passed on to my kids. I wouldn't want them to have this illness. It is not easy, at all. ",
5/5/2015 21:25:03,I like my life as it is.,,
5/5/2015 21:25:28,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.","""I don't like children"" is a bit too strong for me. I have little interest in children, especially infants -- I do not find the idea of caring for children in this age group remotely appealing. I also have dealt with anxiety and depression my whole life, and as someone who grew up with a mother with mental illness, I have chosen not to visit that on another generation. While my mental illness is treated and under control -- my mother's was not -- I have always feared re-enacting my childhood on children of my own.",
5/5/2015 21:25:46,I want to prioritize my career.,I plan on commissioning into the military and wouldn't want to put children through my deployments and constantly moving,
5/5/2015 21:25:54,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.","My husband and I knew we were uncertain when we married (21 years ago) and we would ""check in"" every few years but our ambivalence turned into a clarity that kids weren't for us. We like our life without the hassle. We like our careers and the fact we've been able to take advantage of opportunities without having to factor in childcare, costs, etc. I used to say we were too selfish and now I realize it's far more selfish to have children you resent or won't devote the time.",
5/5/2015 21:25:56,I like my life as it is.,I always wanted to be the best Aunt  I could be to my nieces and nephews.  When I was growing up I had a special Aunt who made me feel special and loved every time I was around her. I just knew this was my goal in life.,
5/5/2015 21:26:19,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I have a spinal condition, so I know that during the pregnancy I would be on bed rest for probably 75 percent of it. 
That, and I've recently been caring for a friend's 11 month old, and I know my own children will act differently than hers, but the lifting and bending my spine cannot handle. 
Husband and I might have to reconsider having children ",
5/5/2015 21:26:25,I like my life as it is.,"I grew up always thinking that I would have kids even as I was heading towards by 30's without a suitable partner in sight.  I then decided to start college at the age of 30 and received my BS at age 34.  I was not done with school yet; I entered right in a masters degree program and I will be just shy of 38 when I graduate.  I have decided that having kids is just not in the cards for me and I am ok with that.  A lot of people say oh you can still have kids you not that old.  But its not about being too old.  It's about going to school for 7 years so that I can have the career of my dreams, it's about having the freedom to travel when and where I want to, it's about knowing that I am too selfish at this point in my life to want to take care of someone else.  I want to do what I want, when I want.  I live on my own time schedule not someone else's - well sometimes my boss and professors time schedule but that's a different story.",
5/5/2015 21:26:47,I like my life as it is.,As a lesbian I've never had the aspirations of having a child...,
5/5/2015 21:26:47,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.",,
5/5/2015 21:26:51,I like my life as it is.,I'm happy with my life and am aware that I have selfish tendencies and that is not good for having children. I'm just not a mommy kinda woman. I never saw myself having or wanting children. ,
5/5/2015 21:27:01,"I don’t want the financial responsibility., I like my life as it is.","I actually had a child after H.S., and he passed away. While I would do anything to have him back, I don't feel a desire at all to have another. I enjoy being able to have as little responsibility as possible,  sleep and have sex whenever and wherever, and just worry about making me happy.",
5/5/2015 21:27:01,I like my life as it is.,I don't want to have kids bc I watched my mother struggle to raise me and my 2 siblings basically on her own while she was married to my father. Having kids is so one sided. The man can go do what he wants while the woman is stuck home raising them. No thanks. Plus children are annoying and expensive and will just grow up to resent me the way I resent my parents. #TruthBomb,
5/5/2015 21:27:02,"I want to prioritize my career., I like my life as it is.",I am selfish when it comes to my career. I am not great at compromising. But I acknowledge these things. And it would not be fair to a child to be my second or even third priority in life. ,
5/5/2015 21:27:23,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.",,
5/5/2015 21:27:42,"I don’t want the financial responsibility., I like my life as it is.","The human race is not at risk of going extinct.  In fact, our expansion has a negative impact on the environment and wildlife.  If I really wanted children I would probably adopt.  ",
5/5/2015 21:27:46,"I don’t want the financial responsibility., I like my life as it is.","I feel like my life was too hard and knowing that I could make a childs life just as awful or filled with sorrow scares me from having them.
I love my life as it is because there is no other big responsibility other than my bills and my already crazy family.",
5/5/2015 21:27:56,I have a bad relationship with my parents.,"I have a bad relationship with my parents and it's affected my mental health greatly. I wouldn't want to have kids unless I was mentally stable and considering that have PTSD is the oppose of that, I don't think that in that frame, I would be the right fit to be a parent to a child.",
5/5/2015 21:28:13,I like my life as it is.,I didn't have children because I never got married.  That's the short story.  ,
5/5/2015 21:28:23,I like my life as it is.,,
5/5/2015 21:28:51,I don’t like children.,"I never had the urge, or need to have children. I don't feel any less of a woman or person for not having kids, but do feel that society looks down on those of us who have not reproduced.",
5/5/2015 21:29:04,I don’t want the financial responsibility.,,
5/5/2015 21:29:12,"I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.","At first, in my life as a teenager and in my 20's, I did everything possible not to have kids! (Birth control pills, condoms, etc)  then in my 30's I found out I had pcos and it would be hard to conceive. I have never had the money to get fertility treatment or really the lifestyle to pursue adoption. ",
5/5/2015 21:29:15,I like my life as it is.,,
5/5/2015 21:29:19,"I want to prioritize my career., I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.",,
5/5/2015 21:29:52,"I want to prioritize my career., I like my life as it is.",I feel like I enjoy my life the way it is. Nothing is missing. I have too many things to do in this life time. If I had children it would not be fair to the child or myself. I would be unhappy and I feel like I would not give my full attention to the child. My carrer and love for life and travel would interfere. ,
5/5/2015 21:30:14,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.","Simply put, kids aren't for everyone. I do like them and enjoy being an aunt but that's the title I choose to keep. ",
5/5/2015 21:30:17,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I just don't feel like I would be able to be the perfect mother for them and I don't think I could handle the bad days. Kids aren't like pets, they're so important and it's a huge responsibility that I don't think I could handle. ",
5/5/2015 21:30:19,I like my life as it is.,,
5/5/2015 21:30:22,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.",,
5/5/2015 21:30:46,I like my life as it is.,i love kids and all the babies in my life..but im way to OCD and impatient..ive never seen kids do anything but destroy relationships..im 35 and have never once been on the fence..,
5/5/2015 21:30:52,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I have never felt a yearning to have children. When I try to imagine how my life would look in the future there's never any children in there. I just don't want them. 
Me and my husband are on the same page and talk about these things a lot. We love our life as it is, we can do what we want, sleep for as long as we'd like, move across the world (we are from Sweden but live in Los Angeles for a few months now), have money to spend and enjoy eachother for the rest of our lives.  Our lives seem full as they are. And perfect. Why mess with that? ",
5/5/2015 21:30:53,I like my life as it is.,"Simply: I like my life. Having the freedom to travel, spend, and do whatever I please at my own whim is liberating.",
5/5/2015 21:30:58,I like my life as it is.,"I don't think there needs to be a ""reason"". I think that not wanting children is as natural as wanting them. Do mothers get asked why  they wanted children? It just is. I think you need to be happy in life. Do what makes you happy! ",
5/5/2015 21:31:02,I like my life as it is.,I like my life as it is. I'm really busy with work and school and I know that I just don't have the time.,
